epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,37.2845,0.99142,1.32962,1.36472,0.58427,0.75,0.7009,0.427,1.3568,2.25287,1.7101,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,38.3577,0.94332,1.30274,1.34898,0.67743,0.75,0.7725,0.43256,1.41655,2.16382,1.83526,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,39.5475,0.92782,1.1886,1.33883,0.61083,0.875,0.65203,0.33612,1.64938,2.15461,2.07545,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,40.7143,0.97809,1.31085,1.36287,0.52611,0.75,0.60273,0.3592,1.58339,2.2089,2.04267,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,41.8467,0.93793,1.23808,1.3206,0.58179,0.75,0.74935,0.38516,1.64499,2.1425,2.00706,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,43.0211,0.8603,1.17089,1.27827,0.64709,0.75,0.70314,0.38172,1.65057,2.24893,1.94718,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,44.1739,1.00815,1.46647,1.42633,0.62306,0.75,0.64348,0.36319,1.70156,2.13566,2.01823,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,45.3233,0.91931,1.2155,1.39389,0.7598,0.875,0.78888,0.39825,1.59307,2.12075,1.94218,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,46.5254,1.05351,1.27043,1.42588,0.69317,0.875,0.79691,0.41779,1.66655,2.1023,1.94843,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,47.622,0.9649,1.32098,1.34066,0.72219,0.97671,0.8911,0.4217,1.67217,2.03439,1.97286,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,48.7672,1.05669,1.33267,1.45142,0.78814,0.75,0.89754,0.41735,1.47088,1.90225,1.81252,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,49.9256,0.90382,1.23188,1.31496,0.75851,0.75,0.83031,0.43035,1.57845,1.78844,1.90448,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,51.0973,0.88059,1.08726,1.29173,0.77286,0.875,0.8515,0.50606,1.45044,1.78555,1.79766,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,52.2064,0.87455,1.24255,1.31217,0.84279,0.875,0.88083,0.50729,1.58572,1.82467,1.97381,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,53.3612,0.92771,1.25257,1.28983,0.75821,0.78692,0.85491,0.45362,1.65054,1.8983,2.09984,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,54.5061,0.9517,1.09809,1.30405,0.72888,0.75,0.77839,0.48363,1.55724,1.97516,2.0526,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,55.67,0.83851,1.07999,1.28521,0.73873,0.75,0.59718,0.3569,1.36616,2.02992,1.82418,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,56.7519,0.8969,1.10305,1.31004,0.74863,0.75,0.59415,0.31699,1.43904,2.03704,1.87111,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,57.9176,0.88722,1.20785,1.31637,0.6974,0.625,0.53627,0.33565,1.51159,2.18683,2.0586,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,59.0506,0.8921,1.11879,1.32954,0.69541,0.625,0.52851,0.32142,1.56336,2.16642,2.11236,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,60.2706,0.8453,1.01324,1.22913,0.71262,0.625,0.68685,0.35473,1.53415,2.13959,2.045,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,61.3878,0.91275,1.02962,1.29908,0.74634,0.875,0.84344,0.39242,1.66392,1.89933,2.09398,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,62.5613,0.82847,1.05405,1.27375,0.75637,0.875,0.85425,0.41608,1.67484,1.83016,2.04906,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,63.7307,0.82968,1.00126,1.24814,0.76444,0.875,0.88544,0.46106,1.61501,1.78772,2.07461,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,64.8775,0.89057,1.03262,1.35659,0.77754,0.875,0.89754,0.45593,1.56249,1.74717,2.11298,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,65.9415,0.82744,0.99657,1.23862,0.7749,0.875,0.89754,0.46182,1.57637,1.68234,2.09045,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,67.0982,0.93257,1.06026,1.35499,0.74849,0.74472,0.79854,0.44084,1.57746,1.69672,2.03956,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,68.2423,0.83227,1.19488,1.30604,0.75765,0.875,0.81778,0.45592,1.53754,1.69216,1.9754,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,69.3652,0.80145,0.92313,1.25769,0.57083,0.875,0.77488,0.44109,1.5282,1.69189,1.93642,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,70.446,0.78442,0.91399,1.2281,0.83317,0.75,0.75372,0.4198,1.47322,1.86169,1.94294,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,71.6002,0.82296,0.90187,1.21589,0.83837,0.75,0.69683,0.39125,1.49766,2.09004,2.00586,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,72.7492,0.73387,0.89845,1.18196,0.85344,0.75,0.76336,0.40239,1.46617,2.09087,1.961,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,73.9037,0.79807,0.94601,1.26739,0.89646,0.625,0.80111,0.41615,1.42775,2.02076,1.96879,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,74.9685,0.81487,0.95382,1.27022,0.88325,0.625,0.71232,0.46732,1.41286,2.07331,1.95002,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,76.1118,0.77264,0.90585,1.23242,0.95515,0.625,0.76845,0.48867,1.37631,1.74458,1.76676,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,77.2887,0.82373,0.9671,1.26615,1,0.61645,0.79244,0.56119,1.30945,1.83791,1.74764,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,78.452,0.79791,0.93345,1.1895,0.6911,0.75,0.72581,0.44378,1.46191,1.76914,1.97017,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,79.5427,0.82679,0.91194,1.29879,0.73981,0.75,0.68399,0.33871,1.61465,1.78782,2.09677,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,80.6958,0.77445,0.93287,1.17937,0.78476,0.625,0.69206,0.38094,1.47624,2.04222,2.0629,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,81.8306,0.81348,0.947,1.23269,0.78282,0.625,0.67541,0.42663,1.37323,2.01107,1.94156,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,82.9694,0.8454,1.01137,1.3121,0.83215,0.62056,0.67852,0.42612,1.4596,2.10355,1.97392,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,84.0392,0.71849,1.91139,1.09744,0.65788,0.625,0.66234,0.36704,1.51787,2.12571,2.04594,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,85.1997,0.7661,0.93348,1.20131,0.82641,0.59904,0.65826,0.38141,1.5467,2.10552,2.06065,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,86.4177,0.76811,0.91727,1.23777,0.83034,0.61377,0.67724,0.40141,1.67219,1.90861,2.13035,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,87.5865,0.75933,0.93665,1.19469,0.79584,0.75,0.79337,0.4154,1.6812,1.71405,2.08315,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
